split,image,pair_idx,panel_box,balloon_box,IoU,containment(panel->balloon),containment(balloon->panel)
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0011.png,0,"[63.7,71.1,686.2,767.4]","[91.3,94.9,422.5,356.1]",0.200,1.000,0.200
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0011.png,1,"[63.7,71.1,686.2,767.4]","[411.3,99.9,660.0,301.1]",0.116,1.000,0.116
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0021.png,0,"[0.0,0.0,2189.0,3052.5]","[803.7,8.7,1030.0,186.2]",0.006,1.000,0.006
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0022.png,0,"[94.0,61.2,2309.0,1521.2]","[1340.3,122.5,1570.3,438.8]",0.022,1.000,0.022
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0036.png,0,"[36.2,63.5,1821.3,2159.8]","[383.7,452.3,796.3,797.3]",0.038,1.000,0.038
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0036.png,1,"[36.2,63.5,1821.3,2159.8]","[1321.2,163.5,1491.2,274.8]",0.005,1.000,0.005
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0036.png,2,"[36.2,63.5,1821.3,2159.8]","[1583.8,618.5,1753.8,719.8]",0.005,1.000,0.005
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0036.png,3,"[1533.8,2196.0,2062.5,2876.0]","[1573.8,2679.7,1732.5,2826.0]",0.065,1.000,0.065
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0038.png,0,"[37.0,2037.2,2055.8,2873.5]","[1030.8,2041.0,1340.8,2388.5]",0.064,1.000,0.064
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0038.png,1,"[37.0,2037.2,2055.8,2873.5]","[1387.0,2051.0,1774.5,2258.5]",0.048,1.000,0.048
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0038.png,2,"[37.0,2037.2,2055.8,2873.5]","[1730.7,2291.0,2028.2,2412.3]",0.021,1.000,0.021
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0038.png,3,"[37.0,2037.2,2055.8,2873.5]","[1388.3,2501.0,1733.2,2814.8]",0.064,1.000,0.064
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0042.png,0,"[114.8,75.0,2134.8,616.3]","[1349.7,236.2,1903.5,362.5]",0.064,1.000,0.064
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0042.png,1,"[114.8,75.0,2134.8,616.3]","[1158.5,347.5,1903.5,548.8]",0.137,1.000,0.137
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0042.png,2,"[113.2,646.2,1252.2,1353.7]","[376.0,672.5,767.3,861.3]",0.092,1.000,0.092
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0042.png,3,"[113.2,646.2,1252.2,1353.7]","[257.2,1093.7,858.5,1315.0]",0.165,1.000,0.165
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0042.png,4,"[1282.2,652.5,2129.7,1355.0]","[1334.7,676.2,1717.2,1042.5]",0.235,1.000,0.235
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0042.png,5,"[1282.2,652.5,2129.7,1355.0]","[1803.5,676.2,2028.5,1041.2]",0.138,1.000,0.138
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0044.png,0,"[1509.7,155.0,2307.2,700.0]","[1601.0,180.0,1799.8,427.5]",0.113,1.000,0.113
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0044.png,1,"[1356.0,823.8,2307.2,1405.0]","[1763.5,848.8,1907.3,1006.3]",0.041,1.000,0.041
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0044.png,2,"[1356.0,823.8,2307.2,1405.0]","[1987.2,850.0,2276.0,1028.8]",0.093,1.000,0.093
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0044.png,3,"[41.3,1536.2,557.2,2336.3]","[177.3,1560.0,524.8,1797.5]",0.200,1.000,0.200
